Vietnamese,Bahnar
"'yok 'măng pơtăm măng  ara ken 'nâu, đưng rong đei ngo jơh 'boh 'long jơh đei grông pơjing hơgei,  'long đat đei  ala 10 - 12 mm ( grông loi   điêu thuôk hla), hla tơp'lih jing mau kơse đâm tơng  lei rơih 'yok 2 - 3 tơ;mưn 'long mi jăng, wă căt ha tuk vach 'long tơ'băng uêi lơm đô đuôi 1,20m sư wă kich thich tơdrong lech tơ'băng.","Đón đầu lứa măng tơ này,khi quan sát thấy cây mẹ phát triển tốt, đường kính thân cây đạt >10-12mm (lớn hơn điếu thuốc lá), lá chuyển sang màu xanh đậm thì chọn giữ lại 2-3 cây mẹ khỏe mạnh, tiến hành cắt hạ bớt ngọn cây măng ở độ cao 1,20 m để kích thích việc trổ măng"
'yêr uôh (cham xâm găt),Sân gạch
'yĕr,Con gà
"'yŏk, kuôt 'bâr ĭnh khan",Hãy nhớ lấy lời tôi!
'yơĭ tơdrong 'neĭ,Làm gì có chuyện ấy
(  Kem tĭa  Quyết đĭnh sô: 1203/QĐ-UBND 'năr 05/4/2017 dĭ Chu tĭch UBND tinh),(Kèm theo Quyết định số: 1203/QĐ-UBND ngày 05/4/2017 của Chủ tịch UBND tỉnh)
( 'Ban hanh kem tĭa Kuyêt đĭnh sô 20/2015/QĐ-UBND 'năr 06/8/2015 dĭ uy 'ban nhân yân tinh 'Binh Đĭnh ),(Ban hành kèm theo Quyết định số 20/2015/QĐ-UBNDngày 06/8/2015 của Ủy ban nhân dân tỉnh Bình Định)
( AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ puoân khoâng tôpôêh tôpôêh/QÑ-BTP ‘naêr peâng jiêt minh kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt puoân ñôêng ‘Boâ tröông ‘Boâ tö phap),(Ban hành kèm theo Quyết định số 4077/QĐ-BTP ngày 31/12/2014 của Bộ trưởng Bộ Tư pháp)
( Chi tiêt 'boi phu luk đĭnh kem Kuyêt đĭnh 'nâu),(Chi tiết theo phụ lục đính kèm Quyết định này)
( Chi tiêt 'boi phŭ luk pơk'lep Kuyêt đĭnh 'nâu),(Chi tiết theo phụ lục đính kèm Quyết định này).
( Kem tia Kuyêt đinh sô số 35/2017/QĐ-UBND 'năr 14 khei 7 sơnăm 2017 di Uy 'ban nhân yân tinh 'Binh Đinh),(Kem theo Quyết định số 35/2017/QĐ-UBNDngày 14/7/2017 của Ủy ban nhân dân tỉnh Bình Định)
( Kem tia Pơđam Kuy hoch pơjing pơtăm 'long tinh 'Binh Đinh truh sơnăm 2020 păng pơtruh sơnăm 2030),(Kèm theo Báo cáo Quy hoạch phát triển trồng trọt tỉnh Bình Định đến năm 2020 và định hướng đến năm 2030)
( Kem tĭa Kuyêt đĭnh sô 1504/QĐ-UBND 'năr 04 khĕi 5 sơnăm 2019 dĭ Chu tich UBND tinh),(Kèm theo Quyết định số 1504/QĐ-UBND ngày 04/5/2019 của Chủ tịch UBND tỉnh)
( Kem tĭa Nghĭ kuuyêt sô 13/2019/NQ-HĐND 'năr 11 khĕi 7 sơnăm 2019 dĭ hôi đong nhân yân tinh 'Binh Đĭnh ),(Kèm theo Nghị quyết số 13/2019/NQ-HĐND ngày 11 tháng 7 năm 2019của Hội đồng nhân dân tỉnh Bình Định)
( Kèm tía Kuuyêt đinh sô 35/2017/QĐ-UBND 'năr 14 khei 7 sơnăm 2017 di Uy 'ban nhân yân tinh 'binh Đinh ),(Kèm theo Quyết định số 35/2017/QĐ-UBNDngày 14/7/2017 của Ủy ban nhân dân tỉnh Bình Định)
( Nôi yung chi tiêt păng phân kông 'boi Phu luk kem 'boi),(Nội dung chi tiết và phân công theo Phụ lục kèm theo)
"( Pơtho khan, pơtâp ăn đê nă ma choh jang, tĕch pơdro đô hla 'nhêm, plĕi, axách, thuy san 'bĭa yung bơgang sư lơm đô plĕi 'long, đô hóa chất sư vĕi jư, pơtho khan krao akom  đê nă ma ruốt đô, ne pă ruôt đô  thưk phâm thuy san bĭ ro nguôn gôk, 'bĭ  tơ'măn tơl an toan..)","(Tuyên truyền, hướng dẫn người sản xuất, kinh doanh rau, quả, thịt, thủy sản không lạm dụng thuốc bảo vệ thực phẩm, hóa chất bảo quản, tuyên truyền vận động người tiêu dùng không sử dụng các sản phẩm thực phẩm nông lâm thủy sản không rõ nguồn gốc, không đảm bảo an toàn...)"
( Ơi Phu luk  chi tiêt đinh kem),(Có Phụ lục chi tiết đính kèm)
('Ban hanh kem tĭa Kuyê̆t đĭnh sô̆ 434/QĐ-UBND năr 13/02/2020 dĭ Chu tich UBND tinh),(Ban hành kèm theo Quyết định số 434/QĐ-UBND ngày 13/02/2020 của Chủ tịch UBND tỉnh)
('ban hanh kem tĭa Nghĭ kuyêt sô̆ 14/2019/NQ-HĐND năr 11 khĕi 7 xơ năm 2019 dĭ Hô̆i đông nhân yân tinh 'Binh Đĭnh),(Ban hành kèm theo Nghị quyết số 14/2019/NQ-HĐND ngày 11 tháng 7 năm 2019 của Hội đồng nhân dân tỉnh Bình Định)
"(Adriêng chu tau ka ôêi hoâ khôu thöông truê dônoê thanh phoâÊ Quy Nhôn, noâp tröêk tieâp aên Chi kuêk khai thak oeêng jö vei nguoân lôi thuy san)","(Đối với chủ tàu cá có hộ khẩu thường trú tại thành phố Quy Nhơn, nộp trực tiếp tại Chi cục Khai thác và Bảo vệ nguồn lợi Thủy sản)."
"(Adriêng ñe hô-yoh ôêi tôdrong pôgloh, ñe hô-yoh kon koâng biê tôpaê phai ôêi duh tôdrong chaê ‘yoêk in ‘noh maêleêi tômaên tôl lôêm tôdrong nöêih sôngöêm)","(Với trẻ em có hoàn cảnh đặc biệt, trẻ em dân tộc thiểu số không nhất thiết phải có đủ tiêu chí lựa chọn như trên nhưng đảm bảo về tiêu chí đạo đức)."
(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ minh ‘baêl minh/QÑ-UBND ‘naêr minh jiêt kheêi minh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng UBND tinh ‘Binh Ñinh),(Ban hành kèm theo Quyết định số 121/QĐ-UBND ngày 10/01/2020 của UBND tỉnh Bình Định)
(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ puoân drôêu pôñaêm/QÑ-UBND ‘naêr minh jiêt tôpôêh kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng UBND tinh ‘Binh Ñinh),(Ban hành kèm theo Quyết định số 465/QĐ-UBND ngày 17 tháng 02 năm 2020 của UBND tỉnh Bình Định)
(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ puoân ‘baêl tôxiênh/QÑ-UBND ‘naêr minh jiêt ‘baêl kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng UBND tinh),(Ban hành kèm theo Quyết định số 429/QĐ-UBND ngày 12/02/2019 của Chủ tịch UBND tỉnh)
(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ tôpôêh tôxiênh tôxiênh/QÑ-UBND ‘naêr minh jiêt tôhngam kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng UBND tinh),(Ban hành kèm theo Quyết định số 799/QĐ-UBND ngày 18/11/2009 của UBND tỉnh)
(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ ‘baêl khoâng puoân drôêu/QÑ-UBND ‘naêr tôpôêh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng UBND tinh),(Ban hành kèm theo Quyết định số 2046/QĐ-UBND ngày 07/6/2017 của UBND Tỉnh)
(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ ‘baêl minh puoân tôpôêh/QÑ-UBND ‘naêr ‘baêl jiêt pôñaêm kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng UBND tinh),(Ban hành kèm theo Quyết định số 2147/QĐ-UBNDngày 25/6/2019 của Chủ tịch UBND tỉnh)
(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ ‘baêl ‘baêl puoân khoâng/QÑ-CTUBND ‘naêr pôñaêm kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt minh ñôêng CTUBND tinh),(Ban hành kèm theo Quyết định số 2240/QĐ-CTUBNDngày 05/10/2011 của Chủ tịch UBND tỉnh)
(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ: Minh peâng pôñaêm pôñaêm/QÑ-UBND ‘naêr minh jiêt peâng kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng Chu tich UBND tinh Binh Ñinh),(Ban hành kèm theo Quyết định số: 1355/QĐ-UBND ngày 13/4/2020 của Chủ tịch UBND tỉnh Bình Định)
(AÊn leêch pôteêp adriêng KueâÊt ñinh peâng minh puoân tôpôêh/QÑ-BTP ‘naêr ‘baêl jiêt tôhngam kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam ñôêng ‘Boâ tröông ‘Boâ Tö phap),(Ban hành kèm theo Quyết định 3147/QĐ-BTP ngày 28/12/2018 của Bộ trưởng Bộ Tư pháp)
(AÊn leêch pôteêp adriêng Nghiê kueâÊt ksoâÊ pôñaêm jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh/NQ-HÑND ‘naêr minh jiêt peâng kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng HÑND tinh ‘Binh Ñinh),(Ban hành kèm theo Nghị quyết số 50/2019/NQ-HĐND ngày 13/12/2019 của Hội đồng nhân dân tỉnh Bình Định)
"(AÊn leêch pôteêp adriêng Nghiê kueâÊt ksoâÊ ‘baêl jiêt tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/NQ-HĐND ‘naêr ‘baêl jiêt pôñaêm kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hieâng minh jiêt pôñaêm ñôêng HÑND tinh khoêa minh jiêt minh, maêng hoêp minh jiêt ‘baêl)","(Ban hành kèm theo 'Nghị quyết số 27/2015/NQ-HĐNDngày 25/12/2015 của HĐND tỉnh Khóa Xỉ, kỳ họp thứ 12)"
(Chi tieât ‘boi phu luêk pôteêp adriêng),(Chi tiết theo Phụ lục đính kèm)
(Chi tieâÊt ‘boi phuê luêk pôteêp adriêng KueâÊt ñinh anu),(Chi tiết theo Phụ lục đính kèm Quyết định này)
(Chi tiêt in Tơ trinh sô 1025/TTr-SNN 'năr 28/3/2017 dĭ Sở Nông nghiệp păng  PTNT),(Chi tiết như Tờ trình số 1025/TTr-SNN ngày 28/3/2017 của Sở Nông nghiệp và PTNT)
(Kem 'boi Kuyêt đǐnh sô: 2618/QĐ-UbNd 'năr 28/7/2015 dǐ Chu tich UBND tinh),(Kèm theo Quyết định số: 2618/QĐ-UbNd ngày 28/7/2015 của Chủ tịch UBND tỉnh)
"(Lôêm jônang thiê ñieâm, nhieâm ky ñôêng Hoâi ñoâng ñe hô-yoh ñeêi pôtho khan ñôêng jônang pôjing anao truh ñiê sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt","(Trong giai đoạn thí điểm, nhiệm kỳ Hội đồng trẻ em được xác định từ khi thành lập đến hết năm 2020."
"(Maêng ‘yaâng höông, ‘yaâng pôkao dônoê ‘Bao tang Kuang Trung, Ñai Kiênh Thieân, Maêng khai mac, ‘BeâÊ mac, Chöông trinh giao löu, ‘bieâu dieân dônoê rim lo vo pôgloh)","(Lễ Dâng hương, Dâng hoa tại Bảo tàng Quang Trung, Đài Kính Thiên, Lễ Khai mạc, Bế mạc, Chương trình giao lưu, biểu diễn tại các lò võ tiêu biểu.)"
"(Maêng ‘yaâng pôkao, ‘yaâng höông, chöông trinh giao löu, ‘bieâu dieân adriêng tham kuan yu lich dônoê rim lo pjo pôgloh…) lôêm tôring","(Lễ Dâng hoa, Dâng hương, chương trình giao lưu, biểu diễn kết hợp tham quan du lịch tại các lò võ tiêu biểu...) trên địa bàn."
(Ngoê hnheêi: Tôdrong quy ñoâi giaê tri dang dang ñôêng chöêng chi ngoai ngö oeng chöêng chi tin hoêk pôm ‘boi Koâng vaên ksoâÊ puoân khoâng drôêu khoâng/UBND-NC ‘naêr minh jiêt drôêu kheêi tôxiênh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu ñôêng UBND tinh),(Lưu ý: Việc quy đổi giá trị tương đương của chứng chỉ ngoại ngữ và chứng chỉ tin học thực hiện theo Công văn số 4060/UBND-NC ngày 169/2016 của UBND tỉnh)
(Pôteêp adriêng KueâÊt ñinh ksoâÊ: minh ‘baêl khoâng tôxiênh/QÑ-UBND ‘naêr pôñaêm kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng Chu tich UBND tinh),(Kèm theo Quyết định số: 1209/QĐ-UBNDngày 05/4/2017 của Chủ tịch UBND tỉnh)
"(Pôteêp adriêng Nghiê kueâÊt ksoâÊ ‘baêl jiêt tôxiênh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/NQ-HÑND ‘naêr ‘baêl jiêt pôñaêm kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñôêng HÑND tinh khoêa minh jiêt minh, maêng hoêp maêng maê minh jiêt ‘baêl","(Kèm theo Nghị quyết số 29/2015/NQ-HĐNDngày 25 tháng 12 năm 2015 của HĐND tỉnh Khóa XI, kỳ họp thứ 12)"
(Thoi leê lôêm ‘yöê an hnam oei sinh vieân aên kuêm tröông lôêm khuoân vieân ñôêng rim dônoê pôtôêp),(Bao gồm cả dự án nhà ở sinh viên cho cụm trường trong khuôn viên của các cơ sở đào tạo).
(Tôdrong jeân tômaên tôl aên tôdrong pôm ñôêng Khul pôgôl oeêng Toâ koâng tak pôm tôdrong thaâm ñinh hoâ sô pôtho khan tôguêm ñôêng naê ma) oeêng phaân jeân trung öông tôguêm,(phần kinh phí đảm bảo cho hoạt động của Ban Chỉ đạo và Tổ công tác thực hiện nhiệm vụ thẩm định hồ sơ đề nghị hỗ trợ của ngư dân) và phần ngân sách trung ương hỗ trợ
"(iii) rim hueân, thi xa tômaên: Ngaân sach tinh pôñaêm jiêt phaân traêm, ngaân sach hueân, thi xa pôñaêm jiêt phaân traêm; (iv) thanh phoâÊ Quy Nhôn: ngaân sach thanh phoâÊ minh hrieâng phaân traêm","(iii) các huyện, thị xã đồng bằng: Ngân sách tỉnh 50%, ngân sách huyện,thị xã 50%; (iv) thành phố Quy Nhơn: Ngân sách thành phố 100%."
"(iv) ‘baêl jiêt tôhngam tram ‘boâm; (v) pôñaêm hrieâng tôxiênh jiêt tôhngam kilomet keânh möông chruêh ñak; (vi) söa chöa, poâk xuoân kang ka Tam Quan oeêng peâng dônoê neo ñôêu oei hli but aên tau thueân","(iv) 28 trạm bơm; (v) 598 km kênh mương tưới, tiêu; (vi) sửa chữa, nâng cấp cảng cá Tam Quan và 03 khu neo đậu tránh trú bão cho tàu thuyền;"
"(vii) poâk xuoân, söa chöa Tram thöêk nghieâm rong pôtaêm thuy san oeêng poâk xuoân kô sô ha taâng apung rong yaê kôsoêng pônhoâm adriêng pôting ksoâÊ jeân la: drôêu ôbôêu peâng hrieâng peâng jiêt tôhngam pheêi pôñaêm hrieâng pôñaêm jiêt ty ñoâng","(vii) nâng cấp, sửa chữa Trạm thực nghiệm nuôi trồng thủy sản và nâng cấp cơ sở hạ tầng vùng nuôi tôm tập trung với tổng kinh phí là: 6.338,550 tỷ đồng."
"(Ñôêng roêng ñeêi aên leêch), Luaât pôtho khan giaêo yuêk phap luaât, Luaât hoa giai oei kô sô oeêng rim vaên ‘ban pôtho khan pôm;","(Sau khi được ban hành), Luật PBGDPL, Luật Hòa giải ở cơ sở và các văn bản hướng dẫn thi hành;"
(ÔÊi kich ‘ban kôdih),(Cỏ kịch bản riêng)
(ÔÊi kich ‘ban sô ‘boâ maêng khai mac pôteêp adriêng),(Cỏ kịch bản sơ bộ Lễ khai mạc kèm theo)
(ÔÊi phuê luêk minh: Glong pônhroh phoâÊi adreâÊch lômo aseêch tôdrong thu ‘yoêk ñeh jônang sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt pôteêp adriêng),(Có Phụ lục 1: Kế hoạch phối giống bò thịt chất lượng cao giai đoạn 2015 - 2020 kèm theo).
"(ÔÊi phuê luêk peâng, puoân: Tôdrong waê jeân tôguêm oeêng phaân ky tôguêm pôteêp adriêng)",(Có Phụ lục 3;4: Nhu cầu vốn đầu tư và phân kỳ đầu tư kèm theo)
(ÔÊi phuê luêk ‘baêl: Glong pônhroh phoâÊi adreâÊch lômo Zebu oeêng lômo Drôught master jônang ñôêng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt pôteêp adriêng),(Cỏ Phụ lục 2: Kế hoạch phối giống bò Zebu và bò Drought master giai đoạn từ 2015 - 2020 kèm theo).
(ÔÊi yöê an yua Sô Koâng thöông tôjung pôm pôteêp adriêng),(Có Dự án do Sở Công Thương xây dựng kèm theo)
(ơ̆i phŭ luk chi tiêt kem tĭa),(Có Phụ lục chi tiết kèm theo)
(‘Boi glong pônhroh ñôêng Khul yaân vaân Trung öông),(Theo Kế hoạch của Ban Dân vận Trung ương)
02 'bai 'bao khoa hok lơ̌m thu'yok nghiên kưu đăng lơm Tap chĭ Khoa hok păng Kông nghê tinh 'Binh Đĭnh.,02 bài báo khoa học về kết quả nghiên cứu đăng trên Tạp chí Khoa học và Công nghệ tỉnh Bình Định.
02 hnam trương đei pơm nhiêm vu 4 nĕi,02 trường được thực hiện nhiệm vụ 4 là
"02 hnam trương đei pơm nhiêm vu 5 nĕi: Trương phô thông Kon kông 'ban trŭ tiêu hok xưm trung hok cơ sơ Vinh Kim (tơ ring Vinh Thanh),Trương phô thông Kon kông 'ban trŭ Trung - Hưng  (tơ ring An Lao)","02 trường được thực hiện nhiệm vụ 5 là: Trường Phổ thông dân tộc bán trú tiểu học và trung học cơ sở Vĩnh Kim (huyện Vĩnh Thạnh), trường Phổ thông dân tộc bán trú Trung - Hưng (huyện An Lão)"
04 trương đĕi thưk hiê̆n nhiê̆m vŭ 1 truh nhiê̆m vuj 3 nĕi,04 trường được thực hiện nhiệm vụ 1 đến nhiệm vụ 3 là
100% naê ma adriêng pôm moâ hinh jôh kyê cam keât khan biê adriêng tiên jung ñen oeêng ‘bao löêk uênh hnam,100% thành viên tham gia mô hình đã ký cam kết nói không với tín dụng đen và bạo lực gia đình
"100% taân binh, uênh hnam oeêng naê ma pôgôl ñei ño thaân nhieât oeêng ñei sat khuaân adrol jônang tômöt apung pôjao yoêk quaân","100% tân binh, người nhà và đại biểu được đo thân nhiệt và thực hiện sát khuẩn trước khi vào khu vực giao nhận quân"
100% đô axach tơ rim chơ pơgloh jơh đĕi ngŏ hnhĕi lơˇm vê sinh thǔ y.,100% sản phẩm thịt tại các chợ trọng điểm được kiểm soát vệ sinh thú y.
120 sơnăm 'năr đêh Chu tich Hô Chi Minh ( 'năr 19khei 5); 65 sơnăm 'năr Kuôk khanh ( 'năr 02 khei 9); đai lê ki niêm 1.000 sơnăm Thăng Long - Ha nôi ( 'năr 10 khei 10).,120 năm ngày sinh Chủ tịch Hồ Chí Minh (19/5); 65 năm ngày Quốc khánh (02/9); đại lễ kỷ niệm 1.000 năm Thăng Long - Hà Nội (10/10).
54,54
80 sơnăm 'năr pơjing Đang ( 'năr 03 khei 02) ; 35 sơnăm 'năr yai phong tinh 'Binh Đinh ( 'năr 31 khei 30; 35 sơnăm 'năr yai phong niêm Nam thông nhât têh đak ( 'năr 30 khei 4),80 năm ngày thành lập Đảng (03/02); 35 năm ngày giải phóng tỉnh Bình Định (31/3); 35 năm ngày giải phóng miền Nam thống nhất đất nước (30/4)
