bahnar,vietnamese,reference
'Bok Rơh năns lăp kơ đon jat.,"Rít bảo không biết vì chàng thấy cô nào cŭng đê̆u xinh đẹp, Trò chuyện được một lúc, cô chị mới hỏi Rít trong ba chị em thì chàng muốn lấy ai, dịu dàng.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok Rơh pơdrŏng chŏng kret pơxet.,Bót Rơ giàu có nhưng keo kiệt.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rơh pơkăl, kră, hơmuh, drănglo, dră kăn lâm pơlei athei tơra khong tơmam wă et so păng athei rĭm 'nu năm hơvih kơ ŭnh hnam hăp.","Lão buộc già, gái, trai trong buôn phải nộp lề mừng, trẻ, và bắt rất nhiều người tới phục dịch buổi lễ của nhà lão.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok Rơh tơl tơdah kơ kơnôr ĭch lĕ "" Kon bơngai hơ'blih hơkar hơrih ling lang, gah 'bih athei lôch"".","Bot Rot trả lời rõ ràng là “người lột da sống mãi, còn rắn phải chêt”.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok athei đĭch dam tôh chêng hơxuang rơđŭk rơđăk.,Lão ra lệnh cho tôi tớ đánh chiêng rộn rịp.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok hrê̆ năng tơ kơpal teh 'bôh teh 'brê kơhâng, rơhŭl rơhăi pă 'bôh mình joi 'long noh 'bok pơtơm lơlĕ tơdrong Yang Grain, Yang Glaih thoi yơ.","thấy mặt đất đỏ tựa da cam sành, trống trơ vắng vẻ mới hay đưọc sai sót của thần sấm sét., Ông ta vén mây nhìn xuống trần gian",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok iĕ đưk ti hơdar hơdeh kơdrăt 'bôh hăp tih kơjung rơngôch, hơbĕn ao hăp hrâp hiah goh.","Chú lẳng lặng đứng dậy vươn vai một cải thì tự nhiên cao lớn hẳn lên, áo quần cũ mẹ chú may cho chú bị xé toan«.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bok kră đu bơnôh xô̆xôn,Ông già tính tình vui vẽ,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Bok po đe'nhŏng,Ông của các anh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Bok tacheng.,"bà mới hỏi ông Rơh:, Đen nơi",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok tơdăm 'bôh thoi noh pă kĕ hâk, tơluh năm iŏk pơla rôih đâp hloi wă bia pă gơh mŭt lâm noh.","Chàng thanh niên thấy vậy mừng lắm, vội chạy lại với lấy chiếc ngà voi bịt lại làm cho nàng không còn đường lẩn trốn.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok tơdăm năm jrâm kră pơlei, hăp poră kơ kră pơlei păng, gah tơdrong thong đak păng 'bok hơdruh, klaih noh 'nhăk kră pơlei năm năng.","Chàng trai tìm đến gặp già làng, chàng kể cho già làng nghe vê̆ chuyện dòng nước và cô gái, rồi dẫn gìa làng đi xem.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bok tơdăm âu sơ'ngon pă lĕ pơm thoi yơ, hnam duh bĭ đei kơpô dĭ le iŏk kiơ wă tơjĭl păns kơpô pơtau.","Chàng trai lo lắm, lấy gì mà chọi., nhà không có trâu",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Buah kơ kăn hăp sang hơlah kơ̆ bơ̆ jang, mĕ sang hrah kơ'na mĕ lôch hrôih.",Hối hận vì lôi xưa lười nhác đã đê mẹ nhịn phân ăn cho mình mà chêt đói sớm nên đàn con hóa ong nọ sớm chiều chuyên cần đi tìm hoa hút nhụy về làm mật làm sáp đê nuôi mẹ.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bâ Hrït truh, de tadàm lâm palei pahach paxiu paxàu poma thoi âu thoi to.",,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bâ wih truh ta hnam haluh nâng plei 'long 'nâng jop kalông kalang rai dunh, rai la bï dunh dâng ài 'benh hloi mïnh pah hnam.",,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bâr chêng kơnhang jâp tơring.,Tiếng chiêng vang xa khắp nẻo.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bâr kăn hăp nhâm re kơnhang truh tơ đon 'bok Kây Dây.,Tiếng khóc vọng lên trời vang đên tai Bót Cây-tây.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bât 'Bok Rah truh ta hnam Hrït.,,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bât 'Bok Rơh truh tơ hnam 'Bok Rơh pă kơnăl mă yơ hnam Hrĭt mă yơ po Hrĭt.,,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bât jrâm Bia, rang duh 'nă, sem duh hơxi, khei to'bang jing khei pơnil, 'năr huăng jing 'năr lech.","Gặp nàng là hoa cười, chim hót.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bât kăn hăp wih truh tơ pơlei, pơtơm lơlĕ mĕ kăn hăp sang lôch păng jing Sut oei lâm rang hơra.","bỗng nghe tin mẹ đã chết, Đen làng, đã hóa thành ong đang ở trong bông cây sung.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bât măt 'năr sang kopâng ka kâl, Plrĭt potom iung rcmŏ sung, săng, tagăk wă chong muih.","Một vài tháng sau ông Rơh bị đau nặng, không ăn uống gì được.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bât noh năng hăp pă sĭ mĭnh 'nu hơioh iĕ mă jing minh 'nu tơdăm brâm tih kơjung, ti chĕp đao tơ yâng kơ mĭnh 'nu tơdăm khĭn pran.","Lúc trờ vào, mà là một trang thanh niên cường tráng tay cầm gươm rất oai vệ., thấy con mình không còn là chú bé nữa",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bât sang klaih et pơkong, Hrĭt pơm pơxêh ăn kơ pơlei đe 'Bok Rơh oei tơ je păng pơlei Hrĭt.",,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bât sang tơiung klaih hơdruân, 'nhŏng hơmol tŏk tơ bơbŭng wă hnhôk kơ hơnha, nâr pơma kơnhang mĭnh pah plenh.","Lúc đã dựng xong cái sườn chòi, người anh cả trèo lên nóc, sai khiến cho dễ, tiếng nói vang động một vùng trời xanh.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bât truh tơ minh pôm pơlei tih.,"Khi tới một làng lớn, người pô nói với anh nhà giàu răng: Chính đây là làng cha mẹ, vợ con anh ở.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bât truh tơ pơlei Pô băn ( pơlei kiek) bre hăp pơdâi mĭnh năr (kơ'năr kiek jĭ kơmăng bơngai).,"Khi tới làng của người pô băn (làng ma), họ nghỉ lại một ngày (ngày của ma tức là đêm của người).",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bôh 'bar 'nu bơngai chrih hnha tơ hăp, hăp jet păng pơma bĭ đei jom.","Ria thấy hai người lạ mặt đến đất mình, liền hống hách hòi:",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bôh Hrĭt dim 'lâng đon tơpăt yang Sơ-ri wă nol năng đon bơnôh Hrĭt, hăp pơm hmoi pơngot.","Dang Xơ-ri muốn thử bụng chàng, Thấy Hrit hiền lành tử tế, nàng bèn kêu đói.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bôh Kop rơi kêp rơnêp, 'Bok Kla sĭk mĭl tơhngioh kơ hăp:","Thấy rùa chậm chạp, hổ bực mình quát:",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bôh bri kông 'lâng rŏ, kăn hăp wih tơ pơlei tôh chêng, hat hơxuang plăt măng","Thấy núi rừng giàu đẹp chúng kéo nhau trở về làng, suốt đêm ngàv đánh chiêng ca hat.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Bôh thoi noh Chơgơu tơ'lok tuk hơdrok kon kiek jing mĭnh 'nu tơdăm guăng tơhuơng.,"Gấu đỏ loáng một cái cởi lổt thú rừng, lại cũng biến thành một người xinh đẹp.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bôh thoi noh bre bă kon krao 'bih prao kơtă ăi 'bih prao jur hrip pơđĭ đak, 'bok Bôt 'măn đak tơyơ prao kiơ̆ hrip tơ ăi.",Hai cha con gấu lập tức gọi rồng xuống hút nước.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bôh thoi noh pơnat, 'bok Kây Dây ăn kăn hăp jing tơpôl Sut păr jŭm dăr mĕ.","Bót Cây-tây cho cả đàn con hóa thành đàn ong mật quây quần quanh mẹ., Thương tình",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bôh thoi noh đe kon rim pơgê hrôih păr chă rang djep đak 'ngam, kơxơ măng wih bơ̆ sal pơjing đak 'ngam wă rong mĕ.","Sáng sớm chúng đi xa, tối mịt chúng mới về.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bôh đe tadăm bô̆k jang păng 'Bok Rah mă đei hakăn guăng, Hrĭt duh 'moih kiă dĭ.","Thắc mắc không biết âm thanh phát ra từ nhà rông xuất phát từ đâu, ông Rơh đên hỏi Rít.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Bă mĭnh pơgê ăi, kon tơdăm bô̆k năng hơkap, hăp 'bôh pơla rôih ah hơkap, hăp iŏk 'nhăk wih tơ hnam, 'măn klaih noh hăp bô̆k tơ bri kiơ̆ mĕ chă sir 'bum.","Một hôm, chàng mang về rồi lên rừng giúp mẹ tìm củ., chàng thăm bẫy, nhặt được chiêc ngà voi trong bẫy",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Long hơbo kơjung ( 'Long hơbo blŏng),Cây ngô cao,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Long vaih che,Thước vải,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Lơ đe tơdăm,Nhiều chàng trai,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Mâng mà âu 'Bok Rah riu hrôih hloh kapage hadroi.,"5, 6 người khiêng không được., Chi riêng một cây cột to còn sót lại",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Măng Jăng gah 'Ngih,Cổng trước,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Măng jang gah ngir,Cổng trước,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Măng mă âu 'Bok Kla ngih kơdih hăp jơnei.,"Lần này, hổ tưởng mình nhất định thắng cuộc.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Mơ̆ hon lơ̆ng,Mặt trái xoan,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
'Nar kiă tơ tô̆,Trời ngày càng ấm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Nar tơ mônh đe truh,Ngày kia họ đến,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nar âu 'nhong noh pơdơi học,Hôm nay anh ấy nghỉ học,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Nar âu duch noh tok tơ mir,Hôm nay cô ấy lên nương,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Nar âu duch nơ̆ tơ mir,Hôm nay cô ấy lên nương,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nar âu ji 'nar têt,Hôm nay là ngày tết,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nar âu koh hi xoh muih,Hôm nay họ đốt rẫy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Nar âu nhong pơ dơi hok,Hôm nay anh ấy nghỉ học,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nar âu đe xoh muih,Hôm nay họ đốt rẫy,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nhong 'hơm bôk ngôi dĭ?,Anh đi chơi không ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nhong Hi,Anh của nó,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Nhong bôk,Anh đi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Nhong bôk trong mă xơ nêp!,Anh đi đường bình an nhé!,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nhong noh pơ nah đei minh pŏm Con Xem,Anh ấy bắn được một con chim,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Nhong noh pơ nah đơi minh pôm Xem,Anh ấy bắn được một con chim,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nhong tam xŏng dĭ ?,Anh ăn cơm chưa ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
"'Nhui păr mŭt glŭng giăng, Kla 'yŭ krê 'nhăk dih băl kơdâu lĕch dâng trôm.","Khói lửa bốc cao, cọp sợ quá nối đuôi nhau chạy ra khỏi hang.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Nhôn bô̆k,Chúng tôi đi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Nhŏng Hpinh Bu?,Anh hỏi ai ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Nhŏng Hơ pinh Bu?,Anh hỏi ai ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nhŏng bok tơyơ ?,Anh đi đâu ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Nhŏng bôk dah ing bôk ?,Anh đi hay tôi đi ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nhŏng bôk la yơ?,Anh đi bao giờ ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Nhŏng bôk thông dăh oai hnam ?,Anh đi chơi hay ở nhà ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
"'Nhŏng bôk tơ yơ, inh bôk tơ noh","Anh đi đâu, tôi đi đấy",Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nhŏng bô̆k bêl yơ?,Anh đi bao giờ ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nhŏng bô̆k hơdah inh bô̆k,Anh đi hay tôi đi ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
"'Nhŏng bô̆k ngôi, hơdah oei hnam",Anh đi chơi hay ở nhà ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Nhŏng bô̆k tơ yơ ?,Anh đi đâu ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nhŏng bô̆k tơyơ,Anh đi đâu ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Nhŏng chă kiơ,Anh tìm cái gì ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Nhŏng chă yă kiơ?,Anh tìm cái gì ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
'Nhŏng hi,Anh của nó,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
'Nhŏng hơm bôk Thông?,Anh đi chơi không ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
"'Nhŏng hơmol tơ'nhăk bơtho pơm tôm tơdrong, gah đe oh gô bơ̆ 'moi.","Người anh cả đứng quản đốc mọi việc, bọn con em ra sức làm.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Nhŏng noh truh kơsơ̆ yơ̆ng bri,Anh ấy đến chiều qua,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Nhŏng oh Hrìt păng Dăm Trông hơrih hơnŭk sô̆ sôn thoi sơ̆.,Anh em Rít và Đam Tròng lại sum họp vui vẻ,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Nhŏng oă bôk ngôi dĭ,Anh đi chơi không ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Nhŏng tam xăng por hai,Anh ăn cơm chưa ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Nhŏng tam xŏng por ?,Anh ăn cơm chưa ?,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
'Nhŏng ăn kơinh kơxâp hla bar,Anh cho tôi quyển sách,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Nâr dâng rong 'Bok Rah kia toih 'nhet Hrït.,,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Năr dâng rong 'Bok Rơh truh jrâm 'bok Tang păng 'bok Gap athei bre hăp năm trong kơ Madŏng păng Mavăt ăn kơ kon hăp jĭ yă Sơkrôh păns yă Sơkrâi.,"Cô chị lại chỉ ba cái cây, bảo chàng bẻ một cây.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"'Năr dâng rong, 'bât riŭ dâng tep, 'Bok Rơh păng tôm kon pơlei 'bôh hnam kăn hăp jĕ păng hnam Hrĭt.",,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
'Năr tơning nhŏng noh truh,Ngày mai anh ấy đến,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Năr yơ̆ng xơ̆hi truh,Ngày kia họ đến,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
'Năr âu nhŏng noh pơdei pơxrăm,Hôm nay anh ấy nghỉ học,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
